date,hometeam,awayteam,fthg,ftag,played
2019-08-09,Liverpool,Norwich City,4,1,True
2019-08-10,West Ham,Manchester City,0,5,True
2019-08-10,Burnley,Southampton,3,0,True
2019-08-10,Watford,Brighton,0,3,True
2019-08-10,Bournemouth,Sheffield Utd,1,1,True
2019-08-10,Crystal Palace,Everton,0,0,True
2019-08-10,Tottenham,Aston Villa,3,1,True
2019-08-11,Newcastle Utd,Arsenal,0,1,True
2019-08-11,Leicester City,Wolves,0,0,True
2019-08-11,Manchester Utd,Chelsea,4,0,True
2019-08-17,Arsenal,Burnley,2,1,True
2019-08-17,Southampton,Liverpool,1,2,True
2019-08-17,Norwich City,Newcastle Utd,3,1,True
2019-08-17,Brighton,West Ham,1,1,True
2019-08-17,Everton,Watford,1,0,True
2019-08-17,Aston Villa,Bournemouth,1,2,True
2019-08-17,Manchester City,Tottenham,2,2,True
2019-08-18,Sheffield Utd,Crystal Palace,1,0,True
2019-08-18,Chelsea,Leicester City,1,1,True
2019-08-19,Wolves,Manchester Utd,1,1,True
2019-08-23,Aston Villa,Everton,2,0,True
2019-08-24,Norwich City,Chelsea,2,3,True
2019-08-24,Brighton,Southampton,0,2,True
2019-08-24,Manchester Utd,Crystal Palace,1,2,True
2019-08-24,Watford,West Ham,1,3,True
2019-08-24,Sheffield Utd,Leicester City,1,2,True
2019-08-24,Liverpool,Arsenal,3,1,True
2019-08-25,Bournemouth,Manchester City,1,3,True
2019-08-25,Tottenham,Newcastle Utd,0,1,True
2019-08-25,Wolves,Burnley,1,1,True
2019-08-31,Southampton,Manchester Utd,1,1,True
2019-08-31,West Ham,Norwich City,2,0,True
2019-08-31,Leicester City,Bournemouth,3,1,True
2019-08-31,Crystal Palace,Aston Villa,1,0,True
2019-08-31,Chelsea,Sheffield Utd,2,2,True
2019-08-31,Newcastle Utd,Watford,1,1,True
2019-08-31,Manchester City,Brighton,4,0,True
2019-08-31,Burnley,Liverpool,0,3,True
2019-09-01,Everton,Wolves,3,2,True
2019-09-01,Arsenal,Tottenham,2,2,True
2019-09-14,Liverpool,Newcastle Utd,3,1,True
2019-09-14,Manchester Utd,Leicester City,1,0,True
2019-09-14,Tottenham,Crystal Palace,4,0,True
2019-09-14,Sheffield Utd,Southampton,0,1,True
2019-09-14,Wolves,Chelsea,2,5,True
2019-09-14,Brighton,Burnley,1,1,True
2019-09-14,Norwich City,Manchester City,3,2,True
