,date,hometeam,awayteam,fthg,ftag,played
0,2020-09-12,Fulham,Arsenal,0,3,True
1,2020-09-12,Crystal Palace,Southampton,1,0,True
2,2020-09-12,Liverpool,Leeds United,4,3,True
3,2020-09-12,West Ham,Newcastle Utd,0,2,True
4,2020-09-13,West Brom,Leicester City,0,3,True
5,2020-09-13,Tottenham,Everton,0,1,True
6,2020-09-14,Sheffield Utd,Wolves,0,2,True
7,2020-09-14,Brighton,Chelsea,1,3,True
8,2020-09-19,Everton,West Brom,5,2,True
9,2020-09-19,Leeds United,Fulham,4,3,True
10,2020-09-19,Manchester Utd,Crystal Palace,1,3,True
11,2020-09-19,Arsenal,West Ham,2,1,True
12,2020-09-20,Southampton,Tottenham,2,5,True
13,2020-09-20,Newcastle Utd,Brighton,0,3,True
14,2020-09-20,Chelsea,Liverpool,0,2,True
15,2020-09-20,Leicester City,Burnley,4,2,True
16,2020-09-21,Aston Villa,Sheffield Utd,1,0,True
17,2020-09-21,Wolves,Manchester City,1,3,True
18,2020-09-26,Brighton,Manchester Utd,2,3,True
19,2020-09-26,Crystal Palace,Everton,1,2,True
20,2020-09-26,West Brom,Chelsea,3,3,True
21,2020-09-26,Burnley,Southampton,0,1,True
22,2020-09-27,Sheffield Utd,Leeds United,0,1,True
23,2020-09-27,Tottenham,Newcastle Utd,1,1,True
24,2020-09-27,Manchester City,Leicester City,2,5,True
25,2020-09-27,West Ham,Wolves,4,0,True
26,2020-09-28,Fulham,Aston Villa,0,3,True
27,2020-09-28,Liverpool,Arsenal,3,1,True
28,2020-10-03,Chelsea,Crystal Palace,4,0,True
29,2020-10-03,Everton,Brighton,4,2,True
30,2020-10-03,Leeds United,Manchester City,1,1,True
31,2020-10-03,Newcastle Utd,Burnley,3,1,True
32,2020-10-04,Leicester City,West Ham,0,3,True
33,2020-10-04,Southampton,West Brom,2,0,True
34,2020-10-04,Arsenal,Sheffield Utd,2,1,True
35,2020-10-04,Wolves,Fulham,1,0,True
36,2020-10-04,Manchester Utd,Tottenham,1,6,True
37,2020-10-04,Aston Villa,Liverpool,7,2,True
38,2020-10-17,Everton,Liverpool,2,2,True
39,2020-10-17,Chelsea,Southampton,3,3,True
40,2020-10-17,Manchester City,Arsenal,1,0,True
41,2020-10-17,Newcastle Utd,Manchester Utd,1,4,True
42,2020-10-18,Sheffield Utd,Fulham,1,1,True
43,2020-10-18,Crystal Palace,Brighton,1,1,True
44,2020-10-18,Tottenham,West Ham,3,3,True
45,2020-10-18,Leicester City,Aston Villa,0,1,True
46,2020-10-19,West Brom,Burnley,0,0,True
47,2020-10-19,Leeds United,Wolves,0,1,True
48,2020-10-23,Aston Villa,Leeds United,0,3,True
49,2020-10-24,West Ham,Manchester City,1,1,True
50,2020-10-24,Fulham,Crystal Palace,1,2,True
51,2020-10-24,Manchester Utd,Chelsea,0,0,True
52,2020-10-24,Liverpool,Sheffield Utd,2,1,True
53,2020-10-25,Southampton,Everton,2,0,True
54,2020-10-25,Wolves,Newcastle Utd,1,1,True
55,2020-10-25,Arsenal,Leicester City,0,1,True
56,2020-10-26,Brighton,West Brom,1,1,True
